-0.016582  0.004226 
1.03802  0.069388 
2.84623  0.042456 
4.68289  0.101298 
6.69266   0.26052 
8.46195  0.227988 
10.4493  0.282935 
12.2517  0.432911 
13.9403  0.507605 
15.5825  0.592076 
17.1475  0.631956 
18.7229  0.737492 
20.2875  0.729574 
21.9122  0.778338 
23.7489   1.04522 
25.7171   1.39433 
26.9928   2.11548 
27.1226   3.77497 
27.0969   5.50197 
27.2237   7.61201 
27.1344   9.42537 
27.1849   11.2382 
27.0474   13.1725 
26.907   15.1754 
27.0144   16.6771 
26.854   18.8316 
26.7809   20.6103 
26.8176   22.6152 
26.762   24.2761 
26.6742   25.9125 
26.5582   27.4485 
26.2683   28.9762 
26.0064   30.4052 
24.3952   30.9332 
22.917   30.9808 
21.0194   31.0862 
18.9821   31.3452 
17.036   31.6156 
15.0354   31.8188 
12.9666   32.0741 
11.2685   32.0226 
9.59667   32.0665 
7.9538   32.2645 
6.48183   32.5341 
5.09386   32.6429 
3.66564   32.8899 
1.60262   33.1865 
0.400896   33.4831 
-1.1605   33.5753 
-2.57141   33.5335 
-4.54417   33.5451 
-5.27027   33.2559 
-5.90448   32.0916 
-5.91721   30.2391 
-5.91961   29.4475 
-6.04458    27.548 
-6.03849   25.5976 
-6.13588   24.3629 
-6.09107   22.9447 
-6.08853   21.3989 
-5.99419   20.0332 
-5.95865   18.2144 
-6.03496   16.8393 
-5.92652   15.1452 
-6.07818   13.3198 
-6.14385   11.5005 
-6.02622   9.83433 
-6.06012    8.1871 
-6.14132     6.597 
-6.20857   4.89067 
-6.07292   3.25837 
-5.70109   2.02246 
-5.49658  0.998578 
-4.764  0.687278 
-3.31808  0.697012 
-1.88261  0.681445 
